name,address,website,postal_code,G3,G6,school_level
Alternative Program Elementary School (Sudbury),"1349 Randall Ave, Ottawa, Ontario, K1H7R2",https://altavistaps.ocdsb.ca/,K1H7R2,72.5,77.33333333333333,Elementary
Altona Forest Public School (PICKERING),"31 Tuddenham Ave, Sudbury, Ontario, P3C3E9",https://www.app.edu.gov.on.ca/eng/sift/glossary.asp#sp,P3C3E9,72.5,77.33333333333333,Elementary
Alton Public School (Caledon),"405 WOODSMERE, PICKERING, Ontario, L1V7A3",http://altona.ddsbschools.ca/,L1V7A3,72.5,77.33333333333333,Elementary
Alton Village Public School (Burlington),"19681 Main St, Caledon, Ontario, L7K0E1",http://schools.peelschools.org/1456/Pages/default.aspx,L7K0E1,72.5,77.33333333333333,Elementary
Alvin Curling Public School (Scarborough),"3290 Steeplechase Drive, Burlington, Ontario, L7M0W1",https://www.app.edu.gov.on.ca/eng/sift/index.asp,L7M0W1,72.5,77.33333333333333,Elementary
Amabel-Sauble Community School (Sauble Beach),"50 Upper Rouge Trail, Scarborough, Ontario, M1B6K4",http://schoolweb.tdsb.on.ca/alvincurling,M1B6K4,72.5,77.33333333333333,Elementary
A M Cunningham Junior Public School (Hamilton),"555 Sauble Falls Parkway RR 1, Sauble Beach, Ontario, N0H2G0",http://www.sau.bwdsb.on.ca/,N0H2G0,72.5,77.33333333333333,Elementary
Amesbury Middle School (North York),"100 Wexford Avenue South, Hamilton, Ontario, L8K2N8",http://schools.hwdsb.on.ca/amcunningham/,L8K2N8,72.5,77.33333333333333,Elementary
Amherstburg Public School (Amherstburg),"201 Gracefield Ave, North York, Ontario, M6L1L7",http://schoolweb.tdsb.on.ca/amesbury,M6L1L7,72.5,77.33333333333333,Elementary
Amherst Island Public School (Stella),"252 Hamilton Dr, Amherstburg, Ontario, N9V1E1",http://www.gecdsb.on.ca/schools/elem/aps,N9V1E1,72.5,77.33333333333333,Elementary
AmherstView Public School (AmherstView),"5955 Front Rd, Stella, Ontario, K0H2S0",https://www.app.edu.gov.on.ca/eng/sift/glossary.asp#sp,K0H2S0,72.5,77.33333333333333,Elementary
Ancaster Meadow Elementary Public School (Ancaster),"70 Fairfield Blvd, AmherstView, Ontario, K7N1L4",http://amherstviewps.limestone.on.ca/,K7N1L4,72.5,77.33333333333333,Elementary
Ancaster Public School (North York),"93 Kitty Murray Lane, Ancaster, Ontario, L9K1S3",http://schools.hwdsb.on.ca/ancastermeadow/,L9K1S3,72.5,77.33333333333333,Elementary
Anderdon Public School (Amherstburg),"44 Ancaster Rd, North York, Ontario, M3K1S6",http://schoolweb.tdsb.on.ca/ancaster,M3K1S6,72.5,77.33333333333333,Elementary
Andrew Hunter Elementary School (Barrie),"3170 Middle Side Rd, Amherstburg, Ontario, N9V2Y9",http://www.gecdsb.on.ca/schools/elem/anderdon,N9V2Y9,72.5,77.33333333333333,Elementary
Angus Morrison Elementary School (Angus),"59 Lampman Lane, Barrie, Ontario, L4N5G4",http://anh.scdsb.on.ca/,L4N5G4,72.5,77.33333333333333,Elementary
Anna McCrea Public School (Sault Ste Marie),"91 Simcoe St, Angus, Ontario, L0M1B5",http://ang.scdsb.on.ca/,L0M1B5,72.5,77.33333333333333,Elementary
Annandale Public School (Tillsonburg),"250 Mark St, Sault Ste Marie, Ontario, P6A3M7",http://www.adsb.on.ca/sites/schools/amc/default.aspx,P6A3M7,72.5,77.33333333333333,Elementary
Anne Frank Public School (Maple),"60 Tillson Ave, Tillsonburg, Ontario, N4G3A1",http://www.tvdsb.ca/AnnandaleSchool.cfm,N4G3A1,72.5,77.33333333333333,Elementary
